,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
97,'pre',-6203.18,0.2928,14.026,0.7249,-1.39E-05,-2059,-6.3239,5.10E-05,10,835,4,-0.12525,,,
98,'chr',-4359.03,0.2213,10.746,0.6247,-2.08E-05,-1721.8,-5.6194,4.70E-05,10,525,4,-0.07875,,,
99,'atg',-71424.31,3.591,175.48,9.621,-9.12E-05,-35941.6,-83.0342,4.70E-05,10,525,4,-0.07875,,,
100,'ab',-3934.56,0.2101,10.006,0.452,-1.34E-05,-1275.9,-3.9536,4.56E-05,10,593,4,-0.08895,950,0.016,0.124
101,'abh',-3924.8,0.2234,10.109,0.452,-1.34E-05,-1275.9,-3.9536,4.56E-05,10,593,4,-0.08895,,,
102,'mic',-3975.11,0.216,10.892,0.4488,-1.01E-05,-1007.3,-3.9731,3.35E-05,10,574,4,-0.0861,,,
103,'san',-3964.96,0.23,10.9,0.4488,-1.01E-05,-1007.3,-3.9731,3.35E-05,10,574,4,-0.0861,,,
104,'an',-4233.48,0.2,10.079,0.3716,1.26E-05,-4110.2,-2.0384,2.38E-05,10,919,4,-0.13785,2300,0.011,0.05
105,'q',-910.83,0.0415,2.2688,0.1107,-5.19E-06,0,-1.1283,6.50E-06,10,750,4,-0.1125,847,0.00495,0.1188
106,'trd',-906.69,0.0461,2.7,0.0979,-3.35E-06,-636.2,-0.774,5.00E-06,10,750,4,-0.1125,,,
107,'crst',-905.99,0.0465,2.61,0.0979,-3.35E-06,-636.2,-0.774,8.10E-06,10,600,4,-0.09,,,
108,'coe',-905.47,0.0408,2.064,0.0965,-5.77E-07,-444.8,-0.7982,1.80E-05,10,1000,4,-0.15,,,
109,'stv',-875.63,0.0245,1.4014,0.0681,6.01E-06,-1978.2,-0.0821,2.50E-05,10,3160,4,-0.474,,,
110,'ne',-2095.08,0.1244,5.419,0.2727,-1.24E-05,0,-2.7631,8.10E-05,10,600,4,-0.09,467,0.01,0.08
111,'kals',-2121.92,0.134,6.04,0.242,-4.48E-06,-895.8,-1.9358,5.76E-05,10,590,4,-0.0885,,,
112,'lc',-3029.16,0.2,8.828,0.3698,-1.63E-05,684.7,-3.6831,3.67E-05,10,630,4,-0.0945,938,0.018,0.482
113,'me',-13843.57,0.752,33.985,1.359,3.64E-05,-8594.7,-9.5982,3.16E-05,10,870,4,-0.1305,,,
114,'wrk',-6666.42,0.375,19.04,0.8383,-2.15E-05,-2272,-7.2923,2.38E-05,10,1000,4,-0.15,,,
115,'lmt',-7268.47,0.457,20.37,1.0134,-2.14E-05,-2235.8,-8.8067,2.38E-05,10,1000,4,-0.15,,,
116,'heu',-10599.14,0.669,31.8,1.5048,-3.32E-05,-2959.3,-13.2972,2.38E-05,10,1000,4,-0.15,,,
117,'stlb',-10898.83,0.71,32.87,1.5884,-3.20E-05,-3071.6,-13.9669,2.38E-05,10,1000,4,-0.15,,,
118,'anl',-3309.9,0.232,9.74,0.6435,-1.61E-05,9302.3,-9.1796,5.00E-05,10,400,4,-0.06,,,
119,'lime',-634.95,0.0381,1.6764,0.0524,3.67E-06,-750.7,-0.051,6.65E-05,10,1160,4,-0.174,,,
120,'ru',-944.18,0.0506,1.882,0.0904,2.90E-06,0,-0.6238,4.43E-05,10,2225,4,-0.33375,,,
121,'per',-601.6,0.0269,1.125,0.0605,3.62E-07,-535.8,-0.2992,6.20E-05,10,1650,4,-0.2475,,,
122,'mang',-385.15,0.0597,1.3221,0.0598,3.60E-06,-31.4,-0.2826,6.30E-05,10,1640,4,-0.246,,,
123,'cor',-1675.25,0.0509,2.558,0.1395,5.89E-06,-2460.6,-0.5892,4.19E-05,10,2520,4,-0.378,,,
124,'hem',-825.71,0.0874,3.0274,0.1639,0,-2257.2,-0.6576,5.99E-05,10,1996,4,-0.2994,955,0.0156,0
125,'NiO',-239.44,0.038,1.097,0.0477,7.82E-06,-392.5,0,6.20E-05,10,1650,4,-0.2475,520,0.0057,0
126,'pnt',-1359.24,0.1049,3.288,0.1419,3.37E-06,-1940.7,-0.4076,4.95E-05,10,1770,4,-0.2655,,,
127,'geik',-1567.49,0.0746,3.086,0.151,0,-1890.4,-0.6522,4.95E-05,10,1770,4,-0.2655,,,
128,'ilm',-1231.3,0.1089,3.169,0.1389,5.08E-06,-1288.8,-0.4637,4.95E-05,10,1770,4,-0.2655,1900,0.011,0.02
129,'bdy',-1101.03,0.0504,2.115,0.0907,0,-813.3,-0.4388,3.76E-05,10,2225,4,-0.33375,,,
130,'sp',-2300.72,0.0815,3.978,0.2427,-6.04E-06,-2315.1,-1.6781,4.31E-05,10,1945,4,-0.29175,,,
131,'herc',-1959.15,0.1075,4.075,0.2833,-5.38E-06,609.8,-2.7136,3.95E-05,10,2120,4,-0.318,,,
132,'mt',-1115.51,0.1461,4.452,0.2625,-7.20E-06,-1926.2,-1.6557,6.96E-05,10,1850,4,-0.2775,848,0.035,0
133,'mft',-1440.66,0.1265,4.457,0.2179,3.55E-07,-3108,-0.7459,6.96E-05,10,1850,4,-0.2775,665,0.0129,0
134,'usp',-1497.49,0.175,4.682,-0.1026,0.00014252,-9144.5,5.2707,6.90E-05,10,1850,4,-0.2775,,,
135,'br',-924.92,0.0645,2.463,0.1584,-4.08E-06,-1052.3,-1.1713,0.00013,10,485,4,-0.07275,,,
136,'dsp',-999.47,0.035,1.776,0.1451,8.71E-06,584.4,-1.7411,7.97E-05,10,2300,4,-0.345,,,
137,'gth',-561.65,0.0604,2.082,0.1393,1.47E-07,-212.7,-1.0778,7.97E-05,10,2300,4,-0.345,,,
138,'cc',-1207.47,0.0925,3.689,0.1409,5.03E-06,-950.7,-0.8584,4.40E-05,10,760,4,-0.114,1240,0.01,0.04
139,'arag',-1207.58,0.0895,3.415,0.1923,-3.05E-06,1149.7,-2.1183,0.000115,10,650,4,-0.0975,1240,0.009,0.04
140,'mag',-1111.36,0.0651,2.803,0.1864,-3.77E-06,0,-1.8862,6.48E-05,10,1460,4,-0.219,,,
141,'sid',-761.44,0.095,2.938,0.1684,0,0,-1.4836,0.00011,10,1200,4,-0.18,,,
142,'rhc',-891.09,0.098,3.107,0.1695,0,0,-1.5343,6.50E-05,10,800,4,-0.12,,,
143,'dol',-2324.43,0.156,6.434,0.3589,-4.91E-06,0,-3.4562,6.35E-05,10,900,4,-0.135,1373,0.013,0.015
144,'ank',-1971.27,0.187,6.606,0.341,-1.16E-06,0,-3.0548,6.35E-05,10,900,4,-0.135,1273,0.009,0.01
145,'syv',-436.5,0.0826,3.752,0.0462,1.80E-05,0,0,0.000247,10,170,4,-0.0255,,,
146,'hlt',-411.3,0.0721,2.702,0.0452,1.80E-05,0,0,0.000269,10,240,4,-0.036,,,
147,'iron',0,0.02732,0.7092,0.0462,5.16E-06,723.1,-0.5562,7.46E-05,10,1680,4,-0.252,1042,0.0083,0
148,'Ni',0,0.02987,0.6588,0.0498,0,585.9,-0.5339,8.86E-05,10,1870,4,-0.2805,631,0.003,0
149,'gph',0,0.00585,0.5298,0.051,-4.43E-06,488.6,-0.8055,4.84E-05,10,390,4,-0.0585,,,
150,'diam',2.07,0.0023,0.3417,0.0243,6.27E-06,-377.4,-0.2734,1.65E-05,10,5800,4,-0.87,,,
151,'H2O',-241.81,0.1888,0,0.0401,8.66E-06,487.5,-0.2512,0,0,0,0,0,,,
152,'CO2',-393.51,0.2137,0,0.0878,-2.64E-06,706.4,-0.9989,0,0,0,0,0,,,
153,'CO',-110.53,0.19767,0,0.0457,-9.70E-08,662.7,-0.4147,0,0,0,0,0,,,
154,'CH4',-74.81,0.18626,0,0.1501,2.06E-06,3427.7,-2.6504,0,0,0,0,0,,,
155,'O2',0,0.2052,0,0.0483,-6.91E-07,499.2,-0.4207,0,0,0,0,0,,,
156,'H2',0,0.1307,0,0.0233,4.63E-06,0,0.0763,0,0,0,0,0,,,
157,'syvL',-416.49,0.0953,3.857,0.0669,0,0,0,0.0005,10,59,4,-0.00885,,,
158,'hltL',-393.42,0.0797,2.965,0.072,-3.22E-06,0,0,0.0005,10,66,4,-0.0099,,,
159,'foL',-2225.16,-0.055,4.243,0.2679,0,0,0,0.000145,10,730,4,-0.1095,,,
160,'faL',-1459.21,0.1025,4.695,0.2397,0,0,0,0.000169,10,410,4,-0.0615,,,
161,'silL',-2583.1,0.039,6.419,0.2376,0,0,0,1.00E-05,10,300,4,-0.045,,,
162,'anL',-4257.75,0.052,10.206,0.4175,0,0,0,4.90E-05,10,200,4,-0.03,,,
163,'h2oL',-295.71,0.0455,1.414,0.08,0,0,0,0.001079,10,40,4,-0.006,,,
164,'enL',-3091.76,-0.002,6.9,0.3549,0,0,0,0.000129,10,260,4,-0.039,,,
165,'kspL',-3992.67,0.1295,11.468,0.3673,0,0,0,6.00E-05,10,260,4,-0.039,,,
166,'qL',-920.85,0.0165,2.64,0.0825,0,0,0,-5.00E-06,10,470,4,-0.0705,,,
167,'diL',-3208.18,0.0238,7.34,0.3453,0,0,0,0.000129,10,300,4,-0.045,,,
168,'abL',-3934.37,0.145,10.71,0.3585,0,0,0,4.50E-05,10,390,4,-0.0585,,,
