,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
146,deer,12.0,4.0,18.0,1.0,12.0,10.0,50.0,11.0,10.0,0.0,-18347.65,1.65,55.74,,,,,,
147,3.1644,-2.7883e-05,-5039.1,-26.721,5e-05,10.0,630.0,4.0,-0.0945,0.0,,,,,,,,,,
148,mu,2.0,9.0,1.0,3.0,3.0,1.0,3.0,10.0,12.0,11.0,2.0,0.0,-5984.18,0.292,14.083,,,,
149,0.7564,-1.984e-05,-2170.0,-6.9792,5.96e-05,10.0,490.0,4.0,-0.0735,0.0,,,,,,,,,,
150,cel,1.0,9.0,1.0,5.0,1.0,3.0,1.0,1.0,4.0,10.0,12.0,11.0,2.0,0.0,-5842.42,0.29,13.957,,
151,0.7412,-1.8748e-05,-2368.8,-6.6169,5.96e-05,10.0,700.0,4.0,-0.105,0.0,,,,,,,,,,
152,fcel,1.0,9.0,1.0,4.0,1.0,3.0,1.0,1.0,4.0,10.0,12.0,11.0,2.0,0.0,-5477.43,0.329,14.07,,
153,0.7563,-1.9147e-05,-1586.1,-6.9287,5.96e-05,10.0,700.0,4.0,-0.105,0.0,,,,,,,,,,
154,pa,1.0,8.0,1.0,3.0,3.0,1.0,3.0,10.0,12.0,11.0,2.0,0.0,-5946.34,0.276,13.211,,,,
155,0.803,-3.158e-05,217.0,-8.151,7.74e-05,10.0,550.0,4.0,-0.0825,0.0,,,,,,,,,,
156,ma,1.0,7.0,1.0,3.0,4.0,1.0,2.0,10.0,12.0,11.0,2.0,0.0,-6241.23,0.267,12.964,,,,
157,0.7444,-1.68e-05,-2074.4,-6.7832,4.87e-05,10.0,1300.0,4.0,-0.195,0.0,,,,,,,,,,
158,phl,2.0,9.0,1.0,5.0,3.0,3.0,1.0,1.0,3.0,10.0,12.0,11.0,2.0,0.0,-6219.16,0.328,14.964,,
159,0.7703,-3.6939e-05,-2328.9,-6.5316,5.79e-05,10.0,513.0,4.0,-0.07695,0.0,,,,,,,,,,
160,ann,3.0,9.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,10.0,12.0,11.0,2.0,0.0,-5151.67,0.418,15.432,,
161,0.8157,-3.4861e-05,19.8,-7.4667,5.79e-05,10.0,513.0,4.0,-0.07695,0.0,,,,,,,,,,
162,mnbi,2.0,9.0,1.0,6.0,3.0,3.0,1.0,1.0,3.0,10.0,12.0,11.0,2.0,0.0,-5462.84,0.433,15.264,,
163,0.8099,-5.9213e-05,-1514.4,-6.9987,5.79e-05,10.0,513.0,4.0,-0.07695,0.0,,,,,,,,,,
164,east,2.0,9.0,1.0,5.0,2.0,3.0,3.0,1.0,2.0,10.0,12.0,11.0,2.0,0.0,-6338.17,0.318,14.738,,
165,0.7855,-3.8031e-05,-2130.3,-6.8937,5.79e-05,10.0,513.0,4.0,-0.07695,0.0,,,,,,,,,,
166,naph,1.0,8.0,1.0,5.0,3.0,3.0,1.0,1.0,3.0,10.0,12.0,11.0,2.0,0.0,-6172.82,0.318,14.45,,
167,0.7735,-4.0229e-05,-2597.9,-6.5126,5.79e-05,10.0,513.0,4.0,-0.07695,0.0,,,,,,,,,,
168,clin,2.0,5.0,5.0,3.0,2.0,1.0,3.0,10.0,18.0,11.0,8.0,0.0,-8912.41,0.4305,21.09,,,,
169,1.1618,1.0133e-05,-7657.3,-9.6909,3.98e-05,10.0,870.0,4.0,-0.1305,0.0,,,,,,,,,,
170,ames,2.0,5.0,4.0,3.0,4.0,1.0,2.0,10.0,18.0,11.0,8.0,0.0,-9034.44,0.41,20.52,,,,
171,1.177,9.041e-06,-7458.7,-10.053,3.98e-05,10.0,870.0,4.0,-0.1305,0.0,,,,,,,,,,
172,afchl,2.0,5.0,6.0,1.0,4.0,10.0,18.0,11.0,8.0,0.0,-8727.38,0.428,21.66,,,,,,
173,1.1466,1.1225e-05,-7855.9,-9.3288,3.98e-05,10.0,870.0,4.0,-0.1305,0.0,,,,,,,,,,
174,daph,3.0,4.0,5.0,3.0,2.0,1.0,3.0,10.0,18.0,11.0,8.0,0.0,-7134.85,0.565,21.34,,,,
175,1.2374,1.3594e-05,-3743.0,-11.25,3.98e-05,10.0,870.0,4.0,-0.1305,0.0,,,,,,,,,,
176,mnchl,2.0,6.0,5.0,3.0,2.0,1.0,3.0,10.0,18.0,11.0,8.0,0.0,-7666.53,0.595,22.59,,,,
177,1.2278,-2.699e-05,-6299.8,-10.4694,3.98e-05,10.0,870.0,4.0,-0.1305,0.0,,,,,,,,,,
178,sud,2.0,5.0,2.0,3.0,4.0,1.0,3.0,10.0,18.0,11.0,8.0,0.0,-8626.16,0.404,20.3,,,,
179,1.4361,-4.8749e-05,-2748.5,-13.764,3.98e-05,10.0,870.0,4.0,-0.1305,0.0,,,,,,,,,,
180,fsud,2.0,4.0,2.0,3.0,4.0,1.0,3.0,10.0,18.0,11.0,8.0,0.0,-7903.9,0.462,20.4,,,,
181,1.4663,-4.7365e-05,-1182.8,-14.388,3.98e-05,10.0,870.0,4.0,-0.1305,0.0,,,,,,,,,,
182,prl,2.0,3.0,2.0,1.0,4.0,10.0,12.0,11.0,2.0,0.0,-5640.64,0.2394,12.81,,,,,,
183,0.7845,-4.2948e-05,1251.0,-8.4959,7.5e-05,10.0,525.0,4.0,-0.07875,0.0,,,,,,,,,,
